Rank,Title,Director,Year,Production Companies,Change from 1998,Alternate Title
1,Citizen Kane,Orson Welles,1941,"Mercury Productions, RKO Radio Pictures",,Citizen Kane (1941)
2,The Godfather,Francis Ford Coppola,1972,"Paramount Pictures, Alfran Productions",1,The Godfather (1972)
3,Casablanca,Michael Curtiz,1942,Warner Bros.,1,Casablanca (1942)
4,Raging Bull,Martin Scorsese,1980,Chartoff-Winkler Productions,20,Raging Bull (1980)
5,Singin' in the Rain,"Gene Kelly, Stanley Donen",1952,Metro-Goldwyn-Mayer,5,Singin' in the Rain (1952)
6,Gone with the Wind,Victor Fleming,1939,Selznick International Pictures,2,Gone with the Wind (1939)
7,Lawrence of Arabia,David Lean,1962,Horizon Pictures,2,Lawrence of Arabia (1962)
8,Schindler's List,Steven Spielberg,1993,Amblin Entertainment,1,Schindler's List (1993)
9,Vertigo,Alfred Hitchcock,1958,Alfred J. Hitchcock Productions,52,Vertigo (1958)
10,The Wizard of Oz,Victor Fleming,1939,Metro-Goldwyn-Mayer,4,The Wizard of Oz (1939)
11,City Lights,Charlie Chaplin,1931,Charles Chaplin Productions,65,City Lights (1931)
12,The Searchers,John Ford,1956,C. V. Whitney Pictures,84,The Searchers (1956)
13,Star Wars,George Lucas,1977,Lucasfilm,2,Star Wars (1977)
14,Psycho,Alfred Hitchcock,1960,Shamley Productions,4,Psycho (1960)
15,2001: A Space Odyssey,Stanley Kubrick,1968,Metro-Goldwyn-Mayer,7,2001: A Space Odyssey (1968)
16,Sunset Boulevard,Billy Wilder,1950,Paramount Pictures,4,Sunset Boulevard (1950)
17,The Graduate,Mike Nichols,1967,Lawrence Turman,10,The Graduate (1967)
18,The General,"Buster Keaton, Clyde Bruckman",1926,Buster Keaton Productions,NEW,The General (1926)
19,On the Waterfront,Elia Kazan,1954,Horizon-American Pictures,11,On the Waterfront (1954)
20,It's a Wonderful Life,Frank Capra,1946,Liberty Films,9,It's a Wonderful Life (1946)
21,Chinatown,Roman Polanski,1974,Long Road Productions,2,Chinatown (1974)
22,Some Like It Hot,Billy Wilder,1959,"Ashton Productions, The Mirisch Company",8,Some Like It Hot (1959)
23,The Grapes of Wrath,John Ford,1940,20th Century-Fox,2,The Grapes of Wrath (1940)
24,E.T. the Extra-Terrestrial,Steven Spielberg,1982,"Universal Pictures, Amblin Entertainment",1,E.T. the Extra-Terrestrial (1982)
25,To Kill a Mockingbird,Robert Mulligan,1962,"Pakula-Mulligan Productions, Brentwood Productions",9,To Kill a Mockingbird (1962)
26,Mr. Smith Goes to Washington,Frank Capra,1939,Columbia Pictures,3,Mr. Smith Goes to Washington (1939)
27,High Noon,Fred Zinnemann,1952,Stanley Kramer Productions,6,High Noon (1952)
28,All About Eve,Joseph L. Mankiewicz,1950,20th Century-Fox,12,All About Eve (1950)
29,Double Indemnity,Billy Wilder,1944,Paramount Pictures,9,Double Indemnity (1944)
